interface,size,rep,time,value,rel
GUROBI,6,3,0.14514827728271484,52.902044959440396,0.02419137954711914
SCIP_CMD,6,3,0.6169531345367432,52.9020449595644,0.10282552242279053
HiGHS_CMD,6,3,0.37952589988708496,52.9020449594524,0.06325431664784749
GLPK_CMD,6,3,0.4090538024902344,52.902,0.06817563374837239
COIN_CMD,6,3,0.45935583114624023,52.902045,0.07655930519104004
CPLEX_PY,6,4,4.398603916168213,52.902044959440396,0.7331006526947021
GUROBI,6,4,0.15255284309387207,52.9020449594404,0.02542547384897868
SCIP_CMD,6,4,0.5310652256011963,52.9020449595644,0.08851087093353271
HiGHS_CMD,6,4,0.3747382164001465,52.9020449594524,0.062456369400024414
GLPK_CMD,6,4,0.37578606605529785,52.902,0.06263101100921631
COIN_CMD,6,4,0.5551531314849854,52.902045,0.09252552191416423
CPLEX_PY,6,5,2.8666419982910156,52.902044959440396,0.47777366638183594
GUROBI,6,5,0.1707768440246582,52.9020449594404,0.028462807337443035
SCIP_CMD,6,5,0.642348051071167,52.9020449595644,0.10705800851186116
HiGHS_CMD,6,5,0.4768221378326416,52.9020449594524,0.07947035630544026
GLPK_CMD,6,5,0.45951414108276367,52.902,0.07658569018046062
COIN_CMD,6,5,0.9102098941802979,52.902045,0.15170164903004965
CPLEX_PY,6,6,46.70553398132324,52.902044959440396,7.784255663553874
GUROBI,6,6,0.20320916175842285,52.9020449594404,0.03386819362640381
SCIP_CMD,6,6,0.8263249397277832,52.9020449595644,0.13772082328796387
HiGHS_CMD,6,6,0.5132040977478027,52.9020449594524,0.08553401629130046
GLPK_CMD,6,6,0.6546590328216553,52.902,0.10910983880360921
COIN_CMD,6,6,0.934992790222168,52.902045,0.15583213170369467
CPLEX_PY,6,7,30.95347499847412,52.902044959440396,5.1589124997456866
GUROBI,6,7,0.16768693923950195,52.902044959440396,0.02794782320658366
SCIP_CMD,6,7,0.8342030048370361,52.9020449595644,0.139033834139506
HiGHS_CMD,6,7,0.5650110244750977,52.9020449594524,0.09416850407918294
GLPK_CMD,6,7,0.5426619052886963,52.902,0.09044365088144939
COIN_CMD,6,7,0.7531969547271729,52.902045,0.12553282578786215
CPLEX_PY,6,8,1.9945459365844727,52.902044959440396,0.3324243227640788
GUROBI,6,8,0.15232610702514648,52.902044959440396,0.025387684504191082
SCIP_CMD,6,8,0.615537166595459,52.9020449595644,0.10258952776590984
HiGHS_CMD,6,8,0.43619680404663086,52.9020449594524,0.07269946734110515
GLPK_CMD,6,8,0.37988996505737305,52.902,0.06331499417622884
COIN_CMD,6,8,0.48130011558532715,52.902045,0.08021668593088786
CPLEX_PY,6,9,103.07598376274109,48.89569163535787,17.179330627123516
GUROBI,6,9,0.21283292770385742,48.89569163535788,0.03547215461730957
SCIP_CMD,6,9,0.8302652835845947,48.8956916353162,0.13837754726409912
HiGHS_CMD,6,9,0.5098707675933838,48.8956916353507,0.08497846126556396
GLPK_CMD,6,9,0.6231369972229004,48.8957,0.10385616620381673
COIN_CMD,6,9,1.1278290748596191,48.895746,0.18797151247660318
CPLEX_PY,7,0,75.4551990032196,49.48284871471097,10.779314143317086
GUROBI,7,0,0.21650314331054688,49.48284871471094,0.03092902047293527
SCIP_CMD,7,0,0.831913948059082,49.4828487146679,0.118844849722726
HiGHS_CMD,7,0,0.502202033996582,49.4828487147076,0.07174314771379743
GLPK_CMD,7,0,0.6862387657165527,49.4828,0.09803410938807897
COIN_CMD,7,0,0.8174920082092285,49.476159,0.11678457260131836
CPLEX_PY,7,1,90.43990707397461,52.902044959440396,12.919986724853516
GUROBI,7,1,0.19686102867126465,52.9020449594404,0.02812300409589495
SCIP_CMD,7,1,0.9778611660003662,52.9020449595644,0.1396944522857666
HiGHS_CMD,7,1,0.7086703777313232,52.9020449594524,0.10123862539018903
GLPK_CMD,7,1,0.5626380443572998,52.902,0.08037686347961426
COIN_CMD,7,1,0.8457870483398438,52.902045,0.12082672119140625
CPLEX_PY,7,2,23.02008819580078,52.902044959440396,3.2885840279715404
