interface	size	test	rep	time	value
GLPK_CMD	4	LP2	1	2.2729411125183105	83240.42277068002
COIN_CMD	4	LP2	1	0.9921212196350098	83240.50974148331
CPLEX_PY	4	LP	2	0.135667085647583	17.36422009683573
GUROBI	4	LP	2	0.10488176345825195	17.36422009683572
SCIP_CMD	4	LP	2	0.40564990043640137	17.3642200968254
HiGHS_CMD	4	LP	2	0.22492504119873047	17.3642200968343
GLPK_CMD	4	LP	2	0.23192811012268066	17.3642
COIN_CMD	4	LP	2	0.2685520648956299	17.364221
CPLEX_PY	4	LP2	2	40.38368320465088	24373.728596988876
GUROBI	4	LP2	2	0.43463873863220215	24373.72859698742
SCIP_CMD	4	LP2	2	1.1339712142944336	24373.728595933648
HiGHS_CMD	4	LP2	2	0.6915538311004639	24373.728596809036
GLPK_CMD	4	LP2	2	1.6075818538665771	24372.90312645294
COIN_CMD	4	LP2	2	0.8589189052581787	
CPLEX_PY	4	LP	3	0.15900397300720215	52.9020449594404
GUROBI	4	LP	3	0.11356186866760254	52.902044959440396
SCIP_CMD	4	LP	3	0.4757080078125	52.9020449595644
HiGHS_CMD	4	LP	3	0.2805330753326416	52.9020449594524
GLPK_CMD	4	LP	3	0.24909090995788574	52.902
COIN_CMD	4	LP	3	0.39225006103515625	52.902045
CPLEX_PY	4	LP2	3	23.95315670967102	68561.79055237072
GUROBI	4	LP2	3	0.5070128440856934	68561.79055237089
SCIP_CMD	4	LP2	3	1.5213208198547363	68561.7905528425
HiGHS_CMD	4	LP2	3	0.9041001796722412	68561.79055243262
GLPK_CMD	4	LP2	3	2.967092990875244	68561.69819036998
COIN_CMD	4	LP2	3	1.2702381610870361	68561.79085121692
CPLEX_PY	4	LP	4	0.2901880741119385	52.9020449594404
GUROBI	4	LP	4	0.12352514266967773	52.90204495944039
SCIP_CMD	4	LP	4	0.4773590564727783	52.9020449595644
HiGHS_CMD	4	LP	4	0.2844560146331787	52.9020449594524
GLPK_CMD	4	LP	4	0.30727100372314453	52.902
COIN_CMD	4	LP	4	0.43145179748535156	52.902045
CPLEX_PY	4	LP2	4	48.20704197883606	99550.99723971623
GUROBI	4	LP2	4	0.4155590534210205	99550.99723971574
SCIP_CMD	4	LP2	4	1.5076582431793213	99550.99724050732
HiGHS_CMD	4	LP2	4	0.8996601104736328	99550.99723980753
GLPK_CMD	4	LP2	4	2.783996105194092	99550.80946905688
COIN_CMD	4	LP2	4	1.2600860595703125	99550.99745878963
CPLEX_PY	4	LP	5	0.12196993827819824	21.45796493970052
GUROBI	4	LP	5	0.0875091552734375	21.457964939700524
SCIP_CMD	4	LP	5	0.3315253257751465	21.4579649396872
HiGHS_CMD	4	LP	5	0.2102982997894287	21.4579649396991
GLPK_CMD	4	LP	5	0.21699190139770508	21.458
COIN_CMD	4	LP	5	0.24405694007873535	21.457979
CPLEX_PY	4	LP2	5	0.466109037399292	41443.02409786161
GUROBI	4	LP2	5	0.7212538719177246	41443.024097861715
SCIP_CMD	4	LP2	5	1.021604061126709	41443.02409905128
HiGHS_CMD	4	LP2	5	0.6861019134521484	41443.02409794348
GLPK_CMD	4	LP2	5	1.757490873336792	
COIN_CMD	4	LP2	5	0.9080629348754883	
CPLEX_PY	4	LP	6	0.13215398788452148	52.902044959440396
GUROBI	4	LP	6	0.10111594200134277	52.9020449594404
SCIP_CMD	4	LP	6	0.45288920402526855	52.9020449595644
